,user,name,author,time,url
0,c,星河叹,黄龄,04:25,G:/桌面/MusicBox/MusicPlayer/downloads\黄龄 - 星河叹.mp3
1,123,我怀念的 (Live),林俊杰,05:05,G:/桌面/MusicBox/MusicPlayer/downloads\林俊杰 - 我怀念的 (Live).mp3
2,123,反方向的钟 (Live),九三,01:54,G:/桌面/MusicBox/MusicPlayer/downloads\九三 - 反方向的钟 (Live).mp3
3,123,女孩,陈立农,02:33,G:/桌面/MusicBox/MusicPlayer/downloads\陈立农 - 女孩.mp3
4,c,会吗,王靖雯,04:12,G:/桌面/MusicBox/MusicPlayer/downloads\王靖雯 - 会吗.mp3
5,c,晚夜微雨问海棠,镜予歌/喧笑/陈亦洺,04:43,G:/桌面/MusicBox/MusicPlayer/downloads\镜予歌 _ 喧笑 _ 陈亦洺 - 晚夜微雨问海棠.mp3
6,c,我怀念的 (Live),林俊杰,05:05,G:/桌面/MusicBox/MusicPlayer/downloads\林俊杰 - 我怀念的 (Live).mp3
7,c,星河叹,黄龄,04:25,G:/桌面/MusicBox/MusicPlayer/downloads\黄龄 - 星河叹.mp3
8,zjh,老男孩,筷子兄弟,05:04,G:/桌面/MusicBox/MusicPlayer/downloads\筷子兄弟 - 老男孩.mp3
9,zjh,晚夜微雨问海棠,镜予歌/喧笑/陈亦洺,04:43,G:/桌面/MusicBox/MusicPlayer/downloads\镜予歌 _ 喧笑 _ 陈亦洺 - 晚夜微雨问海棠.mp3
10,zjh,会吗,王靖雯,04:12,G:/桌面/MusicBox/MusicPlayer/downloads\王靖雯 - 会吗.mp3
11,zjh,反方向的钟 (Live),九三,01:54,G:/桌面/MusicBox/MusicPlayer/downloads\九三 - 反方向的钟 (Live).mp3
12,zyw,爱，存在 (Demo),王鹤棣,00:41,G:/桌面/MusicBox/MusicPlayer/downloads\王鹤棣 - 爱，存在 (Demo).mp3
13,zyw,女孩,陈立农,02:33,G:/桌面/MusicBox/MusicPlayer/downloads\陈立农 - 女孩.mp3
14,zyw,我怀念的 (Live),林俊杰,05:05,G:/桌面/MusicBox/MusicPlayer/downloads\林俊杰 - 我怀念的 (Live).mp3
15,zyw,老男孩,筷子兄弟,05:04,G:/桌面/MusicBox/MusicPlayer/downloads\筷子兄弟 - 老男孩.mp3
16,Forest,会吗,王靖雯,04:12,G:/桌面/MusicBox/MusicPlayer/downloads\王靖雯 - 会吗.mp3
17,Forest,"11 - 队长,黄礼格",,03:55,"G:/桌面/MusicBox/MusicPlayer/downloads\11 - 队长,黄礼格.mp3"
18,Forest,晚夜微雨问海棠,镜予歌/喧笑/陈亦洺,04:43,G:/桌面/MusicBox/MusicPlayer/downloads\镜予歌 _ 喧笑 _ 陈亦洺 - 晚夜微雨问海棠.mp3
19,123,Sad Anymore,Tom Odell,02:10,G:/桌面/3/MusicPlayer/downloads\Tom Odell - Sad Anymore.mp3
20,123,下雨天,南拳妈妈,04:13,G:/桌面/3/MusicPlayer/downloads\南拳妈妈 - 下雨天.mp3
21,123,父亲,崔京浩,03:07,G:/桌面/3/MusicPlayer/downloads\崔京浩 - 父亲.mp3
22,123,灰姑娘,梁咏琪,03:32,G:/桌面/3/MusicPlayer/downloads\梁咏琪 - 灰姑娘.mp3
23,123,相约一九九八,那英/王菲,05:09,G:/桌面/3/MusicPlayer/downloads\那英 _ 王菲 - 相约一九九八.mp3
24,123,胆小鬼,梁咏琪,04:21,G:/桌面/3/MusicPlayer/downloads\梁咏琪 - 胆小鬼.mp3
25,001,给我一个理由忘记,A-Lin,04:44,G:/桌面/3/MusicPlayer/downloads\A-Lin - 给我一个理由忘记.mp3
26,001,遇,ai mini,04:08,G:/桌面/3/MusicPlayer/downloads\ai mini - 遇.mp3
27,001,She'll Be Coming Round the Mountain,Aldous Harding,04:28,G:/桌面/3/MusicPlayer/downloads\Aldous Harding - She'll Be Coming Round the Mountain.mp3
28,001,UpFall,Blakey,03:04,G:/桌面/3/MusicPlayer/downloads\Blakey - UpFall.mp3
29,001,All The Good Times,Angel Olsen,04:37,G:/桌面/3/MusicPlayer/downloads\Angel Olsen - All The Good Times.mp3
30,001,I Dare You,Bea Miller,03:26,G:/桌面/3/MusicPlayer/downloads\Bea Miller - I Dare You.mp3
31,001,三国恋,Tank,04:06,G:/桌面/3/MusicPlayer/downloads\Tank - 三国恋.mp3
32,001,花好月圆夜,任贤齐/杨千嬅,02:28,G:/桌面/3/MusicPlayer/downloads\任贤齐 _ 杨千嬅 - 花好月圆夜.mp3
33,001,冬天的秘密,周传雄,04:33,G:/桌面/3/MusicPlayer/downloads\周传雄 - 冬天的秘密.mp3
34,001,一起向未来,易烊千玺,03:19,G:/桌面/3/MusicPlayer/downloads\易烊千玺 - 一起向未来.mp3
35,001,爱，存在 (Demo),王鹤棣,00:41,G:/桌面/3/MusicPlayer/downloads\王鹤棣 - 爱，存在 (Demo).mp3
36,001,我是不是该安静的走开,郭富城,04:03,G:/桌面/3/MusicPlayer/downloads\郭富城 - 我是不是该安静的走开.mp3
37,001,青藏高原,韩红,03:25,G:/桌面/3/MusicPlayer/downloads\韩红 - 青藏高原.mp3
38,002,三国恋,Tank,04:06,G:/桌面/3/MusicPlayer/downloads\Tank - 三国恋.mp3
39,002,All The Good Times,Angel Olsen,04:37,G:/桌面/3/MusicPlayer/downloads\Angel Olsen - All The Good Times.mp3
40,002,Car Therapy,Faye Webster,03:35,G:/桌面/3/MusicPlayer/downloads\Faye Webster - Car Therapy.mp3
41,002,死了都要爱,信乐团,04:29,G:/桌面/3/MusicPlayer/downloads\信乐团 - 死了都要爱.mp3
42,002,男儿当自强,林子祥,04:19,G:/桌面/3/MusicPlayer/downloads\林子祥 - 男儿当自强.mp3
43,002,遗失的心跳,萧亚轩,03:36,G:/桌面/3/MusicPlayer/downloads\萧亚轩 - 遗失的心跳.mp3
44,002,恋曲1990,罗大佑,05:19,G:/桌面/3/MusicPlayer/downloads\罗大佑 - 恋曲1990.mp3
45,002,六月的雨,胡歌,03:48,G:/桌面/3/MusicPlayer/downloads\胡歌 - 六月的雨.mp3
46,002,爱，存在 (Demo),王鹤棣,00:41,G:/桌面/3/MusicPlayer/downloads\王鹤棣 - 爱，存在 (Demo).mp3
47,002,一念之间,陶喆,04:40,G:/桌面/3/MusicPlayer/downloads\陶喆 - 一念之间.mp3
48,002,青藏高原,韩红,03:25,G:/桌面/3/MusicPlayer/downloads\韩红 - 青藏高原.mp3
49,002,其实都没有,杨宗纬,03:52,G:/桌面/3/MusicPlayer/downloads\杨宗纬 - 其实都没有.mp3
50,003,男儿当自强,林子祥,04:19,G:/桌面/3/MusicPlayer/downloads\林子祥 - 男儿当自强.mp3
51,003,青花,周传雄,04:58,G:/桌面/3/MusicPlayer/downloads\周传雄 - 青花.mp3
52,003,死了都要爱,信乐团,04:29,G:/桌面/3/MusicPlayer/downloads\信乐团 - 死了都要爱.mp3
53,003,Car Therapy,Faye Webster,03:35,G:/桌面/3/MusicPlayer/downloads\Faye Webster - Car Therapy.mp3
54,003,给我一个理由忘记,A-Lin,04:44,G:/桌面/3/MusicPlayer/downloads\A-Lin - 给我一个理由忘记.mp3
55,003,"11 - 队长,黄礼格",,03:55,"G:/桌面/3/MusicPlayer/downloads\11 - 队长,黄礼格.mp3"
56,003,Living In Symphony,Fleurie,04:24,G:/桌面/3/MusicPlayer/downloads\Fleurie - Living In Symphony.mp3
57,003,花好月圆夜,任贤齐/杨千嬅,02:28,G:/桌面/3/MusicPlayer/downloads\任贤齐 _ 杨千嬅 - 花好月圆夜.mp3
58,003,再见,小虎队,04:01,G:/桌面/3/MusicPlayer/downloads\小虎队 - 再见.mp3
59,003,男儿当自强,林子祥,04:19,G:/桌面/3/MusicPlayer/downloads\林子祥 - 男儿当自强.mp3
60,003,六月的雨,胡歌,03:48,G:/桌面/3/MusicPlayer/downloads\胡歌 - 六月的雨.mp3
61,003,爱，存在 (Demo),王鹤棣,00:41,G:/桌面/3/MusicPlayer/downloads\王鹤棣 - 爱，存在 (Demo).mp3
62,003,你若成风,许嵩/莫诗旎,03:42,G:/桌面/3/MusicPlayer/downloads\许嵩 _ 莫诗旎 - 你若成风.mp3
63,004,一直很安静,阿桑,04:11,G:/桌面/3/MusicPlayer/downloads\阿桑 - 一直很安静.mp3
64,004,喜欢你,陈洁仪,04:25,G:/桌面/3/MusicPlayer/downloads\陈洁仪 - 喜欢你.mp3
65,004,星河叹,黄龄,04:25,G:/桌面/3/MusicPlayer/downloads\黄龄 - 星河叹.mp3
66,004,恋曲1990,罗大佑,05:19,G:/桌面/3/MusicPlayer/downloads\罗大佑 - 恋曲1990.mp3
67,004,胆小鬼,梁咏琪,04:21,G:/桌面/3/MusicPlayer/downloads\梁咏琪 - 胆小鬼.mp3
68,004,画心,张靓颖,07:13,G:/桌面/3/MusicPlayer/downloads\张靓颖 - 画心.mp3
69,004,黎明不要来,卢敏仪,03:07,G:/桌面/3/MusicPlayer/downloads\卢敏仪 - 黎明不要来.mp3
70,004,千年泪,Tank,04:20,G:/桌面/3/MusicPlayer/downloads\Tank - 千年泪.mp3
71,004,Better Than One,The Score,04:00,G:/桌面/3/MusicPlayer/downloads\The Score - Better Than One.mp3
72,004,Sad Anymore,Tom Odell,02:10,G:/桌面/3/MusicPlayer/downloads\Tom Odell - Sad Anymore.mp3
73,004,反方向的钟 (Live),九三,01:54,G:/桌面/3/MusicPlayer/downloads\九三 - 反方向的钟 (Live).mp3
74,004,She'll Be Coming Round the Mountain,Aldous Harding,04:28,G:/桌面/3/MusicPlayer/downloads\Aldous Harding - She'll Be Coming Round the Mountain.mp3
75,004,Nervous At Night,Charlie Hickey,04:15,G:/桌面/3/MusicPlayer/downloads\Charlie Hickey - Nervous At Night.mp3
76,004,Living In Symphony,Fleurie,04:24,G:/桌面/3/MusicPlayer/downloads\Fleurie - Living In Symphony.mp3
77,005,给我一个理由忘记,A-Lin,04:44,G:/桌面/3/MusicPlayer/downloads\A-Lin - 给我一个理由忘记.mp3
78,005,"11 - 队长,黄礼格",,03:55,"G:/桌面/3/MusicPlayer/downloads\11 - 队长,黄礼格.mp3"
79,005,中国人,刘德华,03:53,G:/桌面/3/MusicPlayer/downloads\刘德华 - 中国人.mp3
80,005,高登歌,小肥,04:14,G:/桌面/3/MusicPlayer/downloads\小肥 - 高登歌.mp3
81,005,男儿当自强,林子祥,04:19,G:/桌面/3/MusicPlayer/downloads\林子祥 - 男儿当自强.mp3
82,005,六月的雨,胡歌,03:48,G:/桌面/3/MusicPlayer/downloads\胡歌 - 六月的雨.mp3
83,005,晚夜微雨问海棠,镜予歌/喧笑/陈亦洺,04:43,G:/桌面/3/MusicPlayer/downloads\镜予歌 _ 喧笑 _ 陈亦洺 - 晚夜微雨问海棠.mp3
84,005,星河叹,黄龄,04:25,G:/桌面/3/MusicPlayer/downloads\黄龄 - 星河叹.mp3
85,005,你若成风,许嵩/莫诗旎,03:42,G:/桌面/3/MusicPlayer/downloads\许嵩 _ 莫诗旎 - 你若成风.mp3
86,005,怒放的生命,汪峰,04:35,G:/桌面/3/MusicPlayer/downloads\汪峰 - 怒放的生命.mp3
87,005,爱笑的眼睛,徐若瑄,04:31,G:/桌面/3/MusicPlayer/downloads\徐若瑄 - 爱笑的眼睛.mp3
88,005,画心,张靓颖,07:13,G:/桌面/3/MusicPlayer/downloads\张靓颖 - 画心.mp3
89,005,我的未来不是梦,张雨生,05:10,G:/桌面/3/MusicPlayer/downloads\张雨生 - 我的未来不是梦.mp3
90,005,青苹果乐园,小虎队,03:42,G:/桌面/3/MusicPlayer/downloads\小虎队 - 青苹果乐园.mp3
91,005,我很快乐,刘惜君,03:33,G:/桌面/3/MusicPlayer/downloads\刘惜君 - 我很快乐.mp3
92,006,Better Than One,The Score,04:00,G:/桌面/3/MusicPlayer/downloads\The Score - Better Than One.mp3
93,006,Classic Objects,Jenny Hval,04:50,G:/桌面/3/MusicPlayer/downloads\Jenny Hval - Classic Objects.mp3
94,006,UpFall,Blakey,03:04,G:/桌面/3/MusicPlayer/downloads\Blakey - UpFall.mp3
95,006,hate to be lame,Lizzy McAlpine/FINNEAS,02:37,G:/桌面/3/MusicPlayer/downloads\Lizzy McAlpine _ FINNEAS - hate to be lame.mp3
96,006,反方向的钟 (Live),九三,01:54,G:/桌面/3/MusicPlayer/downloads\九三 - 反方向的钟 (Live).mp3
97,006,Smiling All The Way Back Home,Tom Odell,03:02,G:/桌面/3/MusicPlayer/downloads\Tom Odell - Smiling All The Way Back Home.mp3
98,006,冲动的惩罚,刀郎,07:51,G:/桌面/3/MusicPlayer/downloads\刀郎 - 冲动的惩罚.mp3
99,006,青花,周传雄,04:58,G:/桌面/3/MusicPlayer/downloads\周传雄 - 青花.mp3
100,006,父亲,崔京浩,03:07,G:/桌面/3/MusicPlayer/downloads\崔京浩 - 父亲.mp3
101,006,灰姑娘,梁咏琪,03:32,G:/桌面/3/MusicPlayer/downloads\梁咏琪 - 灰姑娘.mp3
102,006,六月的雨,胡歌,03:48,G:/桌面/3/MusicPlayer/downloads\胡歌 - 六月的雨.mp3
103,006,情歌两三首,郭顶,04:33,G:/桌面/3/MusicPlayer/downloads\郭顶 - 情歌两三首.mp3
104,006,青藏高原,韩红,03:25,G:/桌面/3/MusicPlayer/downloads\韩红 - 青藏高原.mp3
105,006,晚夜微雨问海棠,镜予歌/喧笑/陈亦洺,04:43,G:/桌面/3/MusicPlayer/downloads\镜予歌 _ 喧笑 _ 陈亦洺 - 晚夜微雨问海棠.mp3
106,006,你若成风,许嵩/莫诗旎,03:42,G:/桌面/3/MusicPlayer/downloads\许嵩 _ 莫诗旎 - 你若成风.mp3
107,006,隆里电丝 (Live),盛宇D-SHINE/KEY.L刘聪/ICE,03:39,G:/桌面/3/MusicPlayer/downloads\盛宇D-SHINE _ KEY_L刘聪 _ ICE - 隆里电丝 (Live).mp3
108,007,青苹果乐园,小虎队,03:42,G:/桌面/3/MusicPlayer/downloads\小虎队 - 青苹果乐园.mp3
109,007,沙金,易烊千玺/王者荣耀,03:35,G:/桌面/3/MusicPlayer/downloads\易烊千玺 _ 王者荣耀 - 沙金.mp3
110,007,会吗,王靖雯,04:12,G:/桌面/3/MusicPlayer/downloads\王靖雯 - 会吗.mp3
111,007,对你爱不完,郭富城,04:41,G:/桌面/3/MusicPlayer/downloads\郭富城 - 对你爱不完.mp3
112,007,一念之间,陶喆,04:40,G:/桌面/3/MusicPlayer/downloads\陶喆 - 一念之间.mp3
113,007,有没有人告诉你,陈楚生,04:21,G:/桌面/3/MusicPlayer/downloads\陈楚生 - 有没有人告诉你.mp3
114,007,相依为命,陈小春,03:58,G:/桌面/3/MusicPlayer/downloads\陈小春 - 相依为命.mp3
115,007,一直很安静,阿桑,04:11,G:/桌面/3/MusicPlayer/downloads\阿桑 - 一直很安静.mp3
116,007,星河叹,黄龄,04:25,G:/桌面/3/MusicPlayer/downloads\黄龄 - 星河叹.mp3
117,007,女孩,陈立农,02:33,G:/桌面/3/MusicPlayer/downloads\陈立农 - 女孩.mp3
118,007,遗失的心跳,萧亚轩,03:36,G:/桌面/3/MusicPlayer/downloads\萧亚轩 - 遗失的心跳.mp3
119,007,男儿当自强,林子祥,04:19,G:/桌面/3/MusicPlayer/downloads\林子祥 - 男儿当自强.mp3
120,007,尾声 - 求神,梁兆基/林帆,01:39,G:/桌面/3/MusicPlayer/downloads\梁兆基 _ 林帆 - 尾声 - 求神.mp3
121,007,男儿当自强,林子祥,04:19,G:/桌面/3/MusicPlayer/downloads\林子祥 - 男儿当自强.mp3
122,007,老男孩,筷子兄弟,05:04,G:/桌面/3/MusicPlayer/downloads\筷子兄弟 - 老男孩.mp3
123,007,活着,郝云,04:31,G:/桌面/3/MusicPlayer/downloads\郝云 - 活着.mp3
124,007,女孩,陈立农,02:33,G:/桌面/3/MusicPlayer/downloads\陈立农 - 女孩.mp3
125,007,爱，存在 (Demo),王鹤棣,00:41,G:/桌面/3/MusicPlayer/downloads\王鹤棣 - 爱，存在 (Demo).mp3
126,007,城府,许嵩,03:20,G:/桌面/3/MusicPlayer/downloads\许嵩 - 城府.mp3
127,008,天路 (传统版),韩红,04:24,G:/桌面/3/MusicPlayer/downloads\韩红 - 天路 (传统版).mp3
128,008,星河叹,黄龄,04:25,G:/桌面/3/MusicPlayer/downloads\黄龄 - 星河叹.mp3
129,008,日不落,蔡依林,03:49,G:/桌面/3/MusicPlayer/downloads\蔡依林 - 日不落.mp3
130,008,男儿当自强,林子祥,04:19,G:/桌面/3/MusicPlayer/downloads\林子祥 - 男儿当自强.mp3
131,008,那个男人,杨宗纬,04:33,G:/桌面/3/MusicPlayer/downloads\杨宗纬 - 那个男人.mp3
132,008,你是我心上人,吴国敬,04:20,G:/桌面/3/MusicPlayer/downloads\吴国敬 - 你是我心上人.mp3
133,008,Best Day Of My Life ,Tom Odell,02:27,G:/桌面/3/MusicPlayer/downloads\Tom Odell - Best Day Of My Life .mp3
134,008,Car Therapy,Faye Webster,03:35,G:/桌面/3/MusicPlayer/downloads\Faye Webster - Car Therapy.mp3
135,008,I Dare You,Bea Miller,03:26,G:/桌面/3/MusicPlayer/downloads\Bea Miller - I Dare You.mp3
136,008,Crossfire,Rag'N'Bone Man,03:39,G:/桌面/3/MusicPlayer/downloads\Rag'N'Bone Man - Crossfire.mp3
137,008,Pop Song,Perfume Genius,05:05,G:/桌面/3/MusicPlayer/downloads\Perfume Genius - Pop Song.mp3
138,008,Present (Mantra),King Sis,03:08,G:/桌面/3/MusicPlayer/downloads\King Sis - Present (Mantra).mp3
139,008,UpFall,Blakey,03:04,G:/桌面/3/MusicPlayer/downloads\Blakey - UpFall.mp3
140,008,I Dare You,Bea Miller,03:26,G:/桌面/3/MusicPlayer/downloads\Bea Miller - I Dare You.mp3
141,008,三国恋,Tank,04:06,G:/桌面/3/MusicPlayer/downloads\Tank - 三国恋.mp3
142,008,Sad Anymore,Tom Odell,02:10,G:/桌面/3/MusicPlayer/downloads\Tom Odell - Sad Anymore.mp3
143,009,All The Good Times,Angel Olsen,04:37,G:/桌面/3/MusicPlayer/downloads\Angel Olsen - All The Good Times.mp3
144,009,遇,ai mini,04:08,G:/桌面/3/MusicPlayer/downloads\ai mini - 遇.mp3
145,009,Smiling All The Way Back Home,Tom Odell,03:02,G:/桌面/3/MusicPlayer/downloads\Tom Odell - Smiling All The Way Back Home.mp3
146,009,好想好想,古巨基,03:38,G:/桌面/3/MusicPlayer/downloads\古巨基 - 好想好想.mp3
147,009,爱,小虎队,04:29,G:/桌面/3/MusicPlayer/downloads\小虎队 - 爱.mp3
148,009,送别,朴树,02:48,G:/桌面/3/MusicPlayer/downloads\朴树 - 送别.mp3
149,009,怒放的生命,汪峰,04:35,G:/桌面/3/MusicPlayer/downloads\汪峰 - 怒放的生命.mp3
150,009,你若成风,许嵩/莫诗旎,03:42,G:/桌面/3/MusicPlayer/downloads\许嵩 _ 莫诗旎 - 你若成风.mp3
151,009,相依为命,陈小春,03:58,G:/桌面/3/MusicPlayer/downloads\陈小春 - 相依为命.mp3
152,009,青藏高原,韩红,03:25,G:/桌面/3/MusicPlayer/downloads\韩红 - 青藏高原.mp3
153,009,偶遇,黎姿,04:53,G:/桌面/3/MusicPlayer/downloads\黎姿 - 偶遇.mp3
154,009,痒,黄龄,03:49,G:/桌面/3/MusicPlayer/downloads\黄龄 - 痒.mp3
155,009,星河叹,黄龄,04:25,G:/桌面/3/MusicPlayer/downloads\黄龄 - 星河叹.mp3
156,009,天亮了,韩红,02:32,G:/桌面/3/MusicPlayer/downloads\韩红 - 天亮了.mp3
157,009,天路 (传统版),韩红,04:24,G:/桌面/3/MusicPlayer/downloads\韩红 - 天路 (传统版).mp3
158,009,遗失的心跳,萧亚轩,03:36,G:/桌面/3/MusicPlayer/downloads\萧亚轩 - 遗失的心跳.mp3
